,name,category,artist,popularity,urls
516,Dior,surprise,Pop Smoke,83,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
517,Yes Indeed,surprise,"Lil Baby,Drake",83,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
518,Hit 'Em Up - Single Version,surprise,"2Pac,Outlawz",83,https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf
519,Wow.,surprise,Post Malone,83,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
520,Can't Hold Us (feat. Ray Dalton),surprise,"Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Ray Dalton",83,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
521,Let You Down,surprise,NF,82,https://open.spotify.com/track/52okn5MNA47tk87PeZJLEL
522,Work Out,surprise,J. Cole,82,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO
523,The Next Episode,surprise,"Dr. Dre,Snoop Dogg",82,https://open.spotify.com/track/4LwU4Vp6od3Sb08CsP99GC
524,Look At Me!,surprise,XXXTENTACION,82,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
525,Ransom,surprise,Lil Tecca,82,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
526,Going Bad (feat. Drake),surprise,"Meek Mill,Drake",82,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
527,Alright,surprise,Kendrick Lamar,82,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
528,California Love - Original Version,surprise,"2Pac,Roger,Dr. Dre",81,https://open.spotify.com/track/3ia3dJETSOllPsv3LJkE35
529,Super Freaky Girl,surprise,Nicki Minaj,81,https://open.spotify.com/track/4C6Uex2ILwJi9sZXRdmqXp
530,Forgot About Dre,surprise,"Dr. Dre,Eminem",81,https://open.spotify.com/track/7iXF2W9vKmDoGAhlHdpyIa
531,Invincible,surprise,Pop Smoke,80,https://open.spotify.com/track/792HwhrdO3ErRKL5yRe4Ge
532,Magnolia,surprise,Playboi Carti,80,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
533,Nonstop,surprise,Drake,80,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
534,DO IT AGAIN (feat. 2Rare),surprise,"NLE Choppa,2Rare",80,https://open.spotify.com/track/5gAwpwuchaCGnJLlBMGBzp
535,ROCKSTAR (feat. Roddy Ricch),surprise,"DaBaby,Roddy Ricch",79,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
536,Element,surprise,Pop Smoke,80,https://open.spotify.com/track/57BGVV6wcyhbn3hsjlqEZB
537,DNA.,surprise,Kendrick Lamar,81,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
538,"Nuthin' But A ""G"" Thang",surprise,"Dr. Dre,Snoop Dogg",79,https://open.spotify.com/track/5Tbpp3OLLClPJF8t1DmrFD
539,Die Young (feat. 347aidan),surprise,"Sleepy Hallow,347aidan",79,https://open.spotify.com/track/6EbVuwU7EnKeF2hdpViXCH
540,Rap God,surprise,Eminem,79,https://open.spotify.com/track/6or1bKJiZ06IlK0vFvY75k
541,OUT WEST (feat. Young Thug),surprise,"JACKBOYS,Travis Scott,Young Thug",78,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
542,Collard Greens,surprise,"ScHoolboy Q,Kendrick Lamar",78,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ
543,Sticky,surprise,Drake,78,https://open.spotify.com/track/4rmVZajAF7PkrCagGPHbqa
544,family ties (with Kendrick Lamar),surprise,"Baby Keem,Kendrick Lamar",78,https://open.spotify.com/track/7Bpx2vsWfQFBACRz4h3IqH
545,Black and Yellow,surprise,Wiz Khalifa,78,https://open.spotify.com/track/5A6OHHy73AR5tLxgTc98zz
546,"Lose Yourself - From ""8 Mile"" Soundtrack",surprise,Eminem,79,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
547,How We Do,surprise,"The Game,50 Cent",77,https://open.spotify.com/track/4PmMVdIFpJTB9WQbmILf4p
548,ZEZE (feat. Travis Scott & Offset),surprise,"Kodak Black,Offset,Travis Scott",77,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
549,In Da Club,surprise,50 Cent,77,https://open.spotify.com/track/4RY96Asd9IefaL3X4LOLZ8
550,No Hands (feat. Roscoe Dash & Wale),surprise,"Waka Flocka Flame,Roscoe Dash,Wale",77,https://open.spotify.com/track/03tqyYWC9Um2ZqU0ZN849H
551,Broke Boys,surprise,"Drake,21 Savage",78,https://open.spotify.com/track/45pUWUeEWGoSdH6UF162G8
552,Stir Fry,surprise,Migos,77,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
553,Doo Wop (That Thing),surprise,Ms. Lauryn Hill,77,https://open.spotify.com/track/0uEp9E98JB5awlA084uaIg
554,1400 / 999 Freestyle,surprise,"Trippie Redd,Juice WRLD",77,https://open.spotify.com/track/75lcPkAkUsKWHGBlGM476R
555,Live Your Life,surprise,"T.I.,Rihanna",77,https://open.spotify.com/track/3jlbL2OTD5YmIunYzgQTAN
556,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",surprise,"A$AP Rocky,Drake,2 Chainz,Kendrick Lamar",77,https://open.spotify.com/track/4X5f3vT8MRuXF68pfjNte5
